site,date,len.total,parasite.sex,location,site.type,method,len.cara,pf,pm,sex,workspace,parasite.category
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,30,,Baynes Sound,No aquaculture,NA,9,0,0,NA,field,0
NOT,2016-07-22,30,,Baynes Sound,No aquaculture,NA,9,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,30,,Baynes Sound,No aquaculture,NA,9,0,0,NA,field,0
NOT,2016-07-22,38,,Baynes Sound,No aquaculture,NA,11.4,0,0,NA,field,0
NOT,2016-07-22,39,,Baynes Sound,No aquaculture,NA,11.7,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,10,,Baynes Sound,No aquaculture,NA,3,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
NOT,2016-07-22,35,,Baynes Sound,No aquaculture,NA,10.5,0,0,NA,field,0
NOT,2016-07-22,40,,Baynes Sound,No aquaculture,NA,12,0,0,NA,field,0
NOT,2016-07-22,30,,Baynes Sound,No aquaculture,NA,9,0,0,NA,field,0
NOT,2016-07-22,15,,Baynes Sound,No aquaculture,NA,4.5,0,0,NA,field,0
NOT,2016-07-22,10,,Baynes Sound,No aquaculture,NA,3,0,0,NA,field,0
NOT,2016-07-22,12,,Baynes Sound,No aquaculture,NA,3.5999999999999996,0,0,NA,field,0
NOT,2016-07-22,10,,Baynes Sound,No aquaculture,NA,3,0,0,NA,field,0
NOT,2016-07-22,10,,Baynes Sound,No aquaculture,NA,3,0,0,NA,field,0
NOT,2016-07-22,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
Reid,2016-07-19,26,Both,Baynes Sound,Shellfish farm,NA,7.8,1,1,NA,field,2
Reid,2016-07-19,38,,Baynes Sound,Shellfish farm,NA,11.4,0,0,NA,field,0
Reid,2016-07-19,38,Female,Baynes Sound,Shellfish farm,NA,11.4,1,0,NA,field,1
Reid,2016-07-19,13,,Baynes Sound,Shellfish farm,NA,3.9,0,0,NA,field,0
Reid,2016-07-19,51,,Baynes Sound,Shellfish farm,NA,15.299999999999999,0,0,NA,field,0
Reid,2016-07-19,26,,Baynes Sound,Shellfish farm,NA,7.8,0,0,NA,field,0
Reid,2016-07-19,38,,Baynes Sound,Shellfish farm,NA,11.4,0,0,NA,field,0
Reid,2016-07-19,50,Female,Baynes Sound,Shellfish farm,NA,15,1,0,NA,field,1
Reid,2016-07-19,35,,Baynes Sound,Shellfish farm,NA,10.5,0,0,NA,field,0
Reid,2016-07-19,10,,Baynes Sound,Shellfish farm,NA,3,0,0,NA,field,0
TranRef,2016-07-18,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
TranRef,2016-07-18,10,,Baynes Sound,No aquaculture,NA,3,0,0,NA,field,0
TranRef,2016-07-18,40,Both,Baynes Sound,No aquaculture,NA,12,1,1,NA,field,2
TranRef,2016-07-18,20,,Baynes Sound,No aquaculture,NA,6,0,0,NA,field,0
TranRef,2016-07-18,39,Female,Baynes Sound,No aquaculture,NA,11.7,1,0,NA,field,1
Taylor Shellfish,2016-07-20,40,,Baynes Sound,Shellfish farm,NA,12,0,0,NA,field,0
Taylor Shellfish,2016-07-20,10,,Baynes Sound,Shellfish farm,NA,3,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,30,,Baynes Sound,Shellfish farm,NA,9,0,0,NA,field,0
Taylor Shellfish,2016-07-20,10,,Baynes Sound,Shellfish farm,NA,3,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,10,,Baynes Sound,Shellfish farm,NA,3,0,0,NA,field,0
Taylor Shellfish,2016-07-20,10,,Baynes Sound,Shellfish farm,NA,3,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,50,,Baynes Sound,Shellfish farm,NA,15,0,0,NA,field,0
Taylor Shellfish,2016-07-20,30,,Baynes Sound,Shellfish farm,NA,9,0,0,NA,field,0
Taylor Shellfish,2016-07-20,30,,Baynes Sound,Shellfish farm,NA,9,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,60,Female,Baynes Sound,Shellfish farm,NA,18,1,0,NA,field,1
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,30,,Baynes Sound,Shellfish farm,NA,9,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,30,,Baynes Sound,Shellfish farm,NA,9,0,0,NA,field,0
Taylor Shellfish,2016-07-20,40,,Baynes Sound,Shellfish farm,NA,12,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,10,,Baynes Sound,Shellfish farm,NA,3,0,0,NA,field,0
Taylor Shellfish,2016-07-20,10,,Baynes Sound,Shellfish farm,NA,3,0,0,NA,field,0
Taylor Shellfish,2016-07-20,10,,Baynes Sound,Shellfish farm,NA,3,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,20,,Baynes Sound,Shellfish farm,NA,6,0,0,NA,field,0
Taylor Shellfish,2016-07-20,50,,Baynes Sound,Shellfish farm,NA,15,0,0,NA,field,0
Taylor Shellfish,2016-07-20,30,,Baynes Sound,Shellfish farm,NA,9,0,0,NA,field,0
Taylor Shellfish,2016-07-20,76,Both,Baynes Sound,Shellfish farm,NA,22.8,1,1,NA,field,2
Tran Shellfish,2018-07-17,63,,Baynes Sound,Shellfish farm,NA,18.9,0,0,NA,field,0
Tran Shellfish,2018-07-17,26,,Baynes Sound,Shellfish farm,NA,7.8,0,0,NA,field,0
Tran Shellfish,2018-07-17,38,Both,Baynes Sound,Shellfish farm,NA,11.4,1,1,NA,field,2
Tran Shellfish,2018-07-17,64,Both,Baynes Sound,Shellfish farm,NA,19.2,1,1,NA,field,2
Tran Shellfish,2018-07-17,38,Both,Baynes Sound,Shellfish farm,NA,11.4,1,1,NA,field,2
Tran Shellfish,2018-07-17,25,,Baynes Sound,Shellfish farm,NA,7.5,0,0,NA,field,0
Tran Shellfish,2018-07-17,NA,Both,Baynes Sound,Shellfish farm,NA,NA,1,1,NA,field,2
